/*
Быстрая регенерация (Clotter)	+15% сопротивления кровотечению
Расхититель Заповедника (Warrens Scrounger)	+10% шанса разведки в Заповеднике
Тактик Заповедника (Warrens Tactician)	+15% урона в Заповеднике
Авантюрист Чащи (Weald Adventurer)	-20% урона от стресса в Чаще
Исследователь Чащи (Weald Explorer)	+20% шанса разведки в Чаще
Расхититель Чащи (Weald Scrounger)	+10% шанса разведки в Чаще
Тактик Чащи (Weald Tactician)	+15% урона в Чаще
Связанные с городом или лагеремПравить
Название	Описание
Созерцательность (Meditator)	Усиление снятия стресса от медитирования в церкви и лагере
Нимфомания (Nymphomania)	+20% снятия стресса при использовании борделя
Доработка брони (Amateur Armorsmith)	-20% стоимости улучшения брони
Доработка оружия (Amateur Weaponsmith)	-20% стоимости улучшения оружия
Дар целителя (Gift of the Healer)	В лагере: +20% полученного лечения
Крепкий (Stout)	+15% полученного лечения в лагере

Негативные черты характера

Анемия (Anemic)	-10% сопротивления кровотечению
Меркуриализм (Mercurial)	-5% сопротивления безумию
Суицидальный (Suicidal)	-10% сопротивления смертельному удару
Истощающая заболеваемость (Wasting Sickness)	-50% сопротивления болезням
Болезненный (Sickly)	-10% сопротивления болезням
Нервный (Nervous)	-10% сопротивления стрессу
Тонкокровный (Thin Blooded)	-10% сопротивления отравлению
Шокироющий (Shocker)	-10% сопротивления оглушению
Скверный характер (Bad Humours)	-15% максимального здоровья
Хрупкий (Fragile)	-10% максимального здоровья
Мягкий (Soft)	-5% максимального здоровья
Беспокойный (Ruminator)	-10% восстановления стресса
Опоясывающий разрыв (Torn Rotator Cuff)	-5% урона
Спокойный (Calm)	-15% урона в первом раунде боя
Неуклюжий (Clumsy)	-5 уклонения
Неуклюжий стрелок (Flawed Release)	-3% шанса критической атаки в дальнем бою
Врасплох (Off Guard)	-4 скорости, -5 уклонения в первом раунде боя
Ленивый глаз (Lazy Eye)	-5 точности в дальнем бою
Промахивающийся (Misses the Spot)	-1% шанса критической атаки
Слабая хватка (Weak Grip)	-3% шанса критической атаки в ближнем бою
Слабая воля к жизни (Weak Grip on Life)	-10% сопротивления смертельному удару
Рассеянный (Scattering)	-5% урона в дальнем бою
Замедленная реакция (Slowdraw)	-4 скорости в первом раунде боя
Замедленные рефлексы (Slow Reflexes)	-1 скорости

Связанные со здоровьем или стрессом

Выдохшийся (Winded)	Если здоровье ниже 50%, -1 скорости
Танатофобия (Thanatophobia)	Если здоровье ниже 50%, -20% сопротивления стрессу
Утомлённый (Tuckered Out)	Если здоровье ниже 50%, -10% урона
Заедание стресса (Stress Eater)	Если стресс выше 50%, +100% потребления пищи

Связанные с уровнем света

Дневной (Diurnal)	Если уровень света меньше 75, -2 скорости
Ночной (Nocturnal)	Если уровень света больше 75, -2 скорости
Чувствительный к свету (Light Sensitive)	Если уровень света больше 75, -10% урона
Фенгофобия (Phengophobia)	Если уровень света больше 75, -20% сопротивления стрессу
Лигофобия (Lygophobia)	Если уровень света меньше 75, -20% сопротивления стрессу

Связанные с типом противника

Боязнь зверей (Fear of Beast)	При сражении с противником-зверем: -15% сопротивления стрессу -10 точности
Боязнь мистики (Fear of Eldritch)	При сражении с противником-мистикой: -15% сопротивления стрессу -10 точности
Боязнь людей (Fear of Mankind)	При сражении с противником-человеком: -15% сопротивления стрессу -10 точности
Боязнь нечисти (Fear Of Unholy)	При сражении с противником-нечистью: -15% сопротивления стрессу -10 точности
Автоматонофобия (Automatonophobia)	При сражении с противником-человеком: -20% сопротивления стрессу
Сатанофобия (Satanophobia)	При сражении с противником-нечистью: -20% сопротивления стрессу
Зоофобия (Zoophobia)	При сражении с противником-зверем: -20% сопротивления стрессу

Связанные с локацией

Боязнь Руин (Ruins Phobe)	-20% сопротивления стрессу в Руинах
Боязнь Заповедника (Warrens Phobe)	-20% сопротивления стрессу в Заповеднике
Боязнь Чащи (Weald Phobe)	-20% сопротивления стрессу в Чаще

Связанные с городом или лагерем

Алкоголизм (Alcoholism)	В городе, будет только пить
Решительность (Resolution)	В городе, никогда не будет пить
Пьяница (Tippler)	В городе, только алкоголь способен снять стресс
Игрок (Gambler)	В городе, будет только играть в азартные игры
Известный жулик (Known Cheat)	В городе, не допускается к азартным играм
Хороший игрок (Good Gambler)	Увеличенный шанс выиграть аксессуары в игорном зале
Плохой игрок (Bad Gambler)	Увеличенный шанс проиграть деньги и аксессуары в игорном зале
Любовный интерес (Love Interest)	В городе, только посещение борделя способно снять стресс
Извращённые вкусы (Deviant Tastes)	В городе, не допускается посещать бордель
Просвещённый (Enlightened)	В городе, только медитация способна снять стресс
Неспокойный разум (Unquiet Mind)	Не может медитировать в городе
Мазохист (Flagellant)	В городе, может снимать стресс только болью
Богобоязненный (God Fearing)	В городе, будет только молиться чтобы снять стресс
Неверие (Faithless)	Не будет молиться или причинять себе боль для снятия стресса
Свидетель (Witness)	После лицезрения волнующего поведения, не будет молиться для снятия стресса
Десяточник (Tither)	Платит дополнительное золото за все услуги церкви
Булимия (Bulimic)	-20% полученного здоровья в лагере

Болезни

Гемофилия (Hemophilia)	-20% сопротивления кровотечению
Жуткий кашель (Creeping Cough)	-5 точности, -5 уклонения, -1 скорости
Бешенство (Rabies)	-10 точности, +20% урона
Диарея (The Runs)	-10 уклонения, -10% максимального здоровья
Озноб (The Yips)	-5 точности
Сифилис (Syphilis)	-5 точности, -10% урона, -10% максимального здоровья
Столбняк (Lockjaw (Tetanus))	-10 точности, -10% урона
Мании и обсессииПравить
Название	Описание	Взаимодействует	Шанс	Ворует?
Кровожадный (Bloodthirsty)	Очарован ранами, повреждениями и пытками	Пытки (Torture)	40%	-
Клаустрофобия (Claustrophobia)	Сильный страх закрытых помещений (+20% стресс в корридорах)	-	-	-
Импульсивный (Compulsive)	Страдает сильным желанием делать определённые движения	Все	20%	-
Любопытный (Curious)	Одержим получением знаний	Все	20%	-
Дакномания (Dacnomania)	Одержим убийством	Пытки (Torture)	40%	-
Тёмное искушение (Dark Temptation)	Склонен к изучению запрещённых знаний	Нечестивый (Unholy)	40%	-
Угрызение совести (Guilty Conscience)	Несёт невыносимую вину за реальные и мнимые поступки	Поклонение (Worship)	35%	-
Диспомания (Dispomania)	Сильное стремление к алкоголю	Выпивка (Drink)	40%	-
Демономания (Demonomania)	Верит что одержим демонами	Нечестивый (Unholy)	40%	-
Аблютомания (Ablutomania)	Одержим чистотой	Фонтан (Fountains)	40%	-
Эгомания (Egomania)	Одержим самовознесением	Отражающий (Reflective)	40%	Да
Хагиомания (Hagiomania)	Одержим святостью	Поклонение (Worship)	40%	-
Хиеромания (Hieromania)	Испытывает религиозные видения и заблуждения	Поклонение (Worship)	35%	-
Хиломания (Hylomania)	Одержим материальными благами	Сокровище (Treasure)	40%	-
Клептомания (Kleptomaniac)	Склонен к краже	Сокровище (Treasure)	35%	Да
Паранормания (Paranormania)	Одержим паранормальными явлениями	Населенный призраками (Haunted)	40%	-
Плутомания (Plutomania)	Одержим деньгами	Сокровище (Treasure)	40%	-
Некромания (Necromania)	Очарован трупами	Тело (Body)	40%	-
Ситиомания (Sitiomania)	Очарован пищей	Еда (Food)	40%	-
*/
/*

Варвар - Два топора - Танк + ДД;
Разбойник - Пистолет + Меч - ДД;
Монашка - Булава + библия - Саппорт;
Иллюзионист - Мешочек с пылью - Саппорт;
Лучник - ЛУк - ДД + Саппорт;
Копьеносец - Копье - Танк + ДД;
Бард - Лютня - Саппорт;
Рыцарь - Меч + Щит - Танк;
Озотник за головами - Два кинжала - ДД;
Мародер - Кинжал + Меч - Танк + ДД;
Охотник на демонов - Два пистотела - ДД + Саппорт;
Оккультист - кинга + кинжал - ДД + Саппорт;
/*
		var acc = 70;
        var dmg = [ 10, 12 ];
        var minDmg = dmg[0];
        var maxDmg = dmg[1];
        var damage = null;
        var difDmg = Math.round( (maxDmg - minDmg)*acc/100 );
        var k = 0;
        var l = 0;
        for( i in 0...9 )
            {
                var hitTest = Math.floor(Math.random() * 100 );
                if( hitTest <= acc-1 )
                    k++;
                else
                    l++;
            }
         if( k > l )
             minDmg += difDmg;
        else
            maxDmg -= difDmg;


        var random =  Math.floor( minDmg + Math.random() * ( maxDmg - minDmg + 1 ));
*/
